id,chapterId,questChain,requirements,cost,reward,_comment
30202,1,2,"{""quest"": [{""id"": 30201, ""status"": 3}]}","{""item"" : [{ ""id"" : 1034, ""amount"" : 2},{ ""id"" : 1044, ""amount"" : 2}]}","{""gold"":125, ""refillable"": [{ ""id"": 1,""amount"": 50}], ""item"" : [{ ""id"" : 4, ""amount"" : 1}]}",Юджин-1
30301,1,3,"{""quest"": [{""id"": 30201, ""status"": 3}]}","{""item"" : [{ ""id"" : 1035, ""amount"" : 1}]}","{""gold"":50, ""refillable"": [{ ""id"": 1,""amount"": 50}]}",Андрэ-1
30302,1,3,"{""quest"": [{""id"": 30301, ""status"": 3}]}","{""item"" : [{ ""id"" : 1037, ""amount"" : 2}]}","{""gold"":125, ""refillable"": [{ ""id"": 1,""amount"": 50}], ""item"" : [{ ""id"" : 4, ""amount"" : 1}]}",Андрэ-1
30401,1,4,"{""quest"": [{""id"": 30102, ""status"": 3}]}","{""item"" : [{ ""id"" : 1037, ""amount"" : 2}]}","{""gold"":100, ""refillable"": [{ ""id"": 1,""amount"": 50}]}",Дженни-2
30402,1,4,"{""quest"": [{""id"": 30401, ""status"": 3}]}","{""item"" : [{ ""id"" : 115, ""amount"" : 1},{ ""id"" : 1016, ""amount"" : 3}]}","{""gold"":250, ""refillable"": [{ ""id"": 1,""amount"": 50}], ""item"" : [{ ""id"" : 4, ""amount"" : 2}]}",Дженни-2
30501,1,5,"{""quest"": [{""id"": 30202, ""status"": 3}]}","{""item"" : [{ ""id"" : 1003, ""amount"" : 1},{ ""id"" : 1034, ""amount"" : 1}]}","{""gold"":100, ""refillable"": [{ ""id"": 1,""amount"": 50}]}",Юджин-2
30502,1,5,"{""quest"": [{""id"": 30501, ""status"": 3}]}","{""item"" : [{ ""id"" : 117, ""amount"" : 1}]}","{""gold"":250, ""refillable"": [{ ""id"": 1,""amount"": 50}], ""item"" : [{ ""id"" : 4, ""amount"" : 2}]}",Юджин-2
30601,1,6,"{""quest"": [{""id"": 30302, ""status"": 3}]}","{""item"" : [{ ""id"" : 112, ""amount"" : 1}]}","{""gold"":100, ""refillable"": [{ ""id"": 1,""amount"": 50}]}",Андрэ-2
30602,1,6,"{""quest"": [{""id"": 30601, ""status"": 3}]}","{""item"" : [{ ""id"" : 120, ""amount"" : 1},{ ""id"" : 1017, ""amount"" : 1}]}","{""gold"":250, ""refillable"": [{ ""id"": 1,""amount"": 50}], ""item"" : [{ ""id"" : 4, ""amount"" : 2}]}",Андрэ-2
30701,1,7,"{""quest"": [{""id"": 30402, ""status"": 3}]}","{""item"" : [{ ""id"" : 1010, ""amount"" : 3}]}","{""gold"":150, ""refillable"": [{ ""id"": 1,""amount"": 50}]}",Дженни-3
30702,1,7,"{""quest"": [{""id"": 30701, ""status"": 3}]}","{""item"" : [{ ""id"" : 117, ""amount"" : 1},{ ""id"" : 1002, ""amount"" : 2},{ ""id"" : 1013, ""amount"" : 1}]}","{""gold"":200, ""refillable"": [{ ""id"": 1,""amount"": 50}]}",Дженни-3
30703,1,7,"{""quest"": [{""id"": 30702, ""status"": 3}]}","{""item"" : [{ ""id"" : 1040, ""amount"" : 5},{ ""id"" : 1016, ""amount"" : 2}]}","{""gold"":500, ""refillable"": [{ ""id"": 1,""amount"": 50}], ""item"" : [{ ""id"" : 4, ""amount"" : 7}]}",Дженни-3
30801,1,8,"{""quest"": [{""id"": 30502, ""status"": 3}]}","{""item"" : [{ ""id"" : 115, ""amount"" : 1},{ ""id"" : 1033, ""amount"" : 2},{ ""id"" : 1034, ""amount"" : 1}]}","{""gold"":150, ""refillable"": [{ ""id"": 1,""amount"": 50}]}",Юджин-3
30802,1,8,"{""quest"": [{""id"": 30801, ""status"": 3}]}","{""item"" : [{ ""id"" : 116, ""amount"" : 1}]}","{""gold"":200, ""refillable"": [{ ""id"": 1,""amount"": 50}]}",Юджин-3
30803,1,8,"{""quest"": [{""id"": 30802, ""status"": 3}]}","{""item"" : [{ ""id"" : 1017, ""amount"" : 2},{ ""id"" : 112, ""amount"" : 1},{ ""id"" : 1014, ""amount"" : 2}]}","{""gold"":500, ""refillable"": [{ ""id"": 1,""amount"": 50}], ""item"" : [{ ""id"" : 4, ""amount"" : 7}]}",Юджин-3
30901,1,9,"{""quest"": [{""id"": 30602, ""status"": 3}]}","{""item"" : [{ ""id"" : 1045, ""amount"" : 1},{ ""id"" : 114, ""amount"" : 2},{ ""id"" : 1041, ""amount"" : 2}]}","{""gold"":150, ""refillable"": [{ ""id"": 1,""amount"": 50}]}",Андрэ-3
30902,1,9,"{""quest"": [{""id"": 30901, ""status"": 3}]}","{""item"" : [{ ""id"" : 117, ""amount"" : 1},{ ""id"" : 1002, ""amount"" : 1}]}","{""gold"":200, ""refillable"": [{ ""id"": 1,""amount"": 50}]}",Андрэ-3
30903,1,9,"{""quest"": [{""id"": 30902, ""status"": 3}]}","{""item"" : [{ ""id"" : 121, ""amount"" : 2},{ ""id"" : 112, ""amount"" : 2}]}","{""gold"":500, ""refillable"": [{ ""id"": 1,""amount"": 50}], ""item"" : [{ ""id"" : 4, ""amount"" : 7}]}",Андрэ-3
31001,1,10,"{""quest"": [{""id"": 30703, ""status"": 3}]}","{""item"" : [{ ""id"" : 1002, ""amount"" : 3},{ ""id"" : 1053, ""amount"" : 3},{ ""id"" : 1011, ""amount"" : 3}]}","{""gold"":200, ""refillable"": [{ ""id"": 1,""amount"": 50}]}",Дженни-4
31002,1,10,"{""quest"": [{""id"": 31001, ""status"": 3}]}","{""item"" : [{ ""id"" : 1014, ""amount"" : 5},{ ""id"" : 1017, ""amount"" : 5},{ ""id"" : 1035, ""amount"" : 5}]}","{""gold"":300, ""refillable"": [{ ""id"": 1,""amount"": 50}]}",Дженни-4
31003,1,10,"{""quest"": [{""id"": 31002, ""status"": 3}]}","{""item"" : [{ ""id"" : 1041, ""amount"" : 5},{ ""id"" : 114, ""amount"" : 5},{ ""id"" : 120, ""amount"" : 5}]}","{""gold"":750, ""refillable"": [{ ""id"": 1,""amount"": 50}], ""item"" : [{ ""id"" : 4, ""amount"" : 1}]}",Дженни-4
31101,1,11,"{""quest"": [{""id"": 30903, ""status"": 3}]}","{""item"" : [{ ""id"" : 116, ""amount"" : 2}]}","{""gold"":200, ""refillable"": [{ ""id"": 1,""amount"": 50}]}",Андрэ-4
31102,1,11,"{""quest"": [{""id"": 31101, ""status"": 3}]}","{""item"" : [{ ""id"" : 112, ""amount"" : 3},{ ""id"" : 1035, ""amount"" : 6}]}","{""gold"":300, ""refillable"": [{ ""id"": 1,""amount"": 50}]}",Андрэ-4
31103,1,11,"{""quest"": [{""id"": 31102, ""status"": 3}]}","{""item"" : [{ ""id"" : 115, ""amount"" : 5},{ ""id"" : 1040, ""amount"" : 5}]}","{""gold"":750, ""refillable"": [{ ""id"": 1,""amount"": 50}], ""item"" : [{ ""id"" : 4, ""amount"" : 1}]}",Андрэ-4
31201,1,12,"{""quest"": [{""id"": 31003, ""status"": 3}]}","{""item"" : [{ ""id"" : 116, ""amount"" : 2},{ ""id"" : 114, ""amount"" : 2}]}","{""gold"":200, ""refillable"": [{ ""id"": 1,""amount"": 50}]}",Дженни-5
31202,1,12,"{""quest"": [{""id"": 31201, ""status"": 3}]}","{""item"" : [{ ""id"" : 1017, ""amount"" : 5},{ ""id"" : 1042, ""amount"" : 5},{ ""id"" : 121, ""amount"" : 1}]}","{""gold"":300, ""refillable"": [{ ""id"": 1,""amount"": 50}]}",Дженни-5
31203,1,12,"{""quest"": [{""id"": 31202, ""status"": 3}]}","{""item"": [{""id"": 119, ""amount"": 1}]}","{""gold"":750, ""refillable"": [{ ""id"": 1,""amount"": 50}], ""item"" : [{ ""id"" : 4, ""amount"" : 1}]}",Дженни-5
999999,3,999,{},"{""item"" : [{ ""id"" : 1032, ""amount"" : 2}]}","{""gold"":50, ""item"" : [{ ""id"" : 1017, ""amount"" : 1}],  ""refillable"": [{ ""id"": 1,""amount"": 50}]}",ТЕСТОВЫЙ КВЕСТ
