id,asset,readOnly,cost,config,_comment
118,obj_d3_veschi,0,"{""item"": [{""id"": 1041, ""amount"": 1}, {""id"": 116, ""amount"": 1}, {""id"": 117, ""amount"": 1}], ""gold"": 8000}",,Вещи
119,obj_d3_chemodanFull,0,"{""item"": [{""id"": 1047, ""amount"": 1}, {""id"": 118, ""amount"": 1}], ""gold"": 10000}",,Чемодан
120,obj_d1_tablecloths,0,"{""item"": [{""id"": 1050, ""amount"": 5}], ""gold"": 3000}",,скатерти
121,obj_d1_tableware,0,"{""item"": [{""id"": 1049, ""amount"": 5}], ""gold"": 6000}",,посуда
1000,obj_d1_tablecloths,0,,,скатерти (простые)
1001,obj_d1_tableware,0,,,посуда (простая)
1002,obj_d1_candles,0,,,свечи
1003,obj_d1_chile,0,,,кастрюля чили
1004,obj_d1_recipe,0,,,рецепт
1005,in_ribs,0,,,ребрышки
1006,obj_d1_sause_bbq,0,,,соус барбекю
1007,in_eggplant,0,,,баклажан
1008,in_pepper_red,0,,,перец чили
1009,in_cucumber,0,,,огурец
1010,obj_d1_sambrero,0,,,сомбреро
1011,obj_d1_gandola,0,,,игрушечная гондола
1012,in_cheese,0,,,сыр
1013,obj_d1_eifel,0,,,эйфелева башня
1014,obj_d1_baget,0,,,багет
1015,obj_d1_blade,0,,"{""isFragment"": ""item""}",фрагмент лезвия газонокосилки
1016,obj_d1_pillow,0,,,подушка
1017,obj_d1_coffee,0,,,кофе
1018,obj_d1_identikit,0,,,фоторобот
1019,obj_dish1_ribs_1,0,,,готовые ребрышки
1021,,0,,"{""isFragment"": ""item""}",Кусочек мозаики
1022,,0,,"{""isFragment"": ""item""}",Фрагмент мозаики 1-1-1
1023,,0,,,Простой предмет 1-2-1
1024,,0,,,Простой предмет 1-2-2
1025,,0,,,Простой предмет-1-3
1026,,0,,,Простой предмет-2-2
1027,,0,,,Простой предмет 2-1-1
1028,obj_dish1_sandwiches,0,,,готовый завтрак
1029,obj_dish1_ribs_3,0,,,Идеальные ребрышки
1030,obj_dish1_chile,0,,,тарелка чили
1031,obj_dish1_ribs_2,0,,,Мамины ребрышки
1032,obj_d2_skrepka,0,,,Айфоновая скрепка
1033,obj_d2_spok,0,,,Уши Спока
1034,obj_d2_minzurka,0,,,Мензурка
1035,obj_d2_shokolad,0,,,Шоколад
1036,obj_d2_nitki,0,,,Моток ниток
1037,obj_d2_nitIgolka,0,,,Швейная игла
1038,obj_d2_osheinik,0,,,Ошейник
1039,obj_d2_oshBant,0,,,Бабочка
1040,obj_d2_korm,0,,,Собачья еда
1041,obj_d3_jeans,0,,,Джинсы
1042,obj_d3_apkolesa,0,,,Таблетки
1043,obj_d3_apbint,0,,,Бинт
1044,obj_d3_battery,0,,,Батарейки
1045,obj_d3_lfoto,0,,,Фотоаппарат
1046,obj_d3_light,0,,,Вспышка
1047,obj_d3_chemodanEmpty,0,,,Пустой чемодан
1048,obj_d1_basket,0,,"{""isFragment"": ""item""}",Фрагмент корзины овощей
1049,obj_d1_tableware,0,,"{""isFragment"": ""item""}",Фрагмент посуды
1050,obj_d1_tablecloths,0,,"{""isFragment"": ""item""}",Фрагмент скатертей
1051,obj_d1_flag_Mexico,0,,,значок с мекс. флагом
1052,obj_d1_flag_Italy,0,,,значок с ит. флагом
1053,obj_d1_flag_France,0,,,значок с фр. флагом
10000,obj_dish2_shawarma,0,,"{""isFragment"": ""recipe""}",Осколок рецепта Буррито
10001,obj_dish2_chicken,0,,"{""isFragment"": ""recipe""}",Осколок рецепта Курица
10002,obj_dish2_pizza,0,,"{""isFragment"": ""recipe""}",Осколок рецепта Пицца
10003,obj_dish2_sandwiches,0,,"{""isFragment"": ""recipe""}",Осколок рецепта Завтрак 
10004,obj_dish2_ribs,0,,"{""isFragment"": ""recipe""}",Осколок рецепта Ребрышки
10005,obj_dish2_julienne,0,,"{""isFragment"": ""recipe""}",Осколок рецепта Жульен
10006,obj_dish2_chile,0,,"{""isFragment"": ""recipe""}",Осколок рецепта Чили
