id,chapterId,main,requirements,recipes,fixedReward,garbageCoeff,possibleReward,cost,config,_comment
27,1,,"{""region"": [{""id"": 7, ""status"": 1}]}","[{ ""recipe"": 5, ""level"": 3 },{ ""recipe"": 6, ""level"": 4 },{ ""recipe"": 7, ""level"": 5 }]","{""gold"":10}",0.6,"[{""item"": 1010, ""prob"":0.3},{""item"": 1040, ""prob"":0.3},{""item"": 1013, ""prob"":0.3}]","{""refillable"": [{""id"" : 1, ""amount"" : 6}]}","",Завтрак 
28,1,,"{""region"": [{""id"": 8, ""status"": 1}]}","[{ ""recipe"": 2, ""level"": 3 },{ ""recipe"": 4, ""level"": 4 },{ ""recipe"": 6, ""level"": 5 }]","{""gold"":10}",0.6,"[{""item"": 1043, ""prob"":0.3},{""item"": 1042, ""prob"":0.3},{""item"": 1014, ""prob"":0.3}]","{""refillable"": [{""id"" : 1, ""amount"" : 6}]}","",Завтрак 
29,1,,"{""region"": [{""id"": 9, ""status"": 1}]}","[{ ""recipe"": 1, ""level"": 3 },{ ""recipe"": 3, ""level"": 4 },{ ""recipe"": 5, ""level"": 5 }]","{""gold"":10}",0.6,"[{""item"": 10005, ""prob"":0.1},{""item"": 1041, ""prob"":0.3},{""item"": 1049, ""prob"":0.3}]","{""refillable"": [{""id"" : 1, ""amount"" : 6}]}","",Завтрак 
30,1,,"{""region"": [{""id"": 10, ""status"": 1}]}","[{ ""recipe"": 6, ""level"": 3 },{ ""recipe"": 2, ""level"": 4 },{ ""recipe"": 4, ""level"": 5 }]","{""gold"":25}",0.6,"[{""item"": 1011, ""prob"":0.3},{""item"": 1053, ""prob"":0.3},{""item"": 1047, ""prob"":0.3}]","{""refillable"": [{""id"" : 1, ""amount"" : 6}]}","",Завтрак 
600,3,,,"[{ ""recipe"": 4, ""level"": 1 }, { ""recipe"": 2, ""level"": 2 }, { ""recipe"": 3, ""level"": 3 }]","{""gold"":50}",0.6,"[{""item"": 1022, ""prob"": 1},
{""item"": 1023, ""prob"": 1},
{""item"": 1024, ""prob"": 1}]","{""refillable"": [{""id"" : 1, ""amount"" : 6}]}",,Тестовая-1
601,3,,,"[{ ""recipe"": 4, ""level"": 1 }, { ""recipe"": 2, ""level"": 2 }, { ""recipe"": 3, ""level"": 3 }]","{""gold"":50}",0.6,"[{""item"": 1025, ""prob"": 0.6},
{""item"": 1026, ""prob"": 0.4},
{""item"": 1027, ""prob"": 0.1}]","{""refillable"": [{""id"" : 1, ""amount"" : 6}]}",,Тестовая-2
999,3,"",,"[{ ""recipe"": 2, ""level"": 1 }]","{""gold"":50}",0.1,"[{""item"": 1018, ""prob"": 0.1}]","{""refillable"": [{""id"" : 1, ""amount"" : 6}]}",,""
10011,1,"",{},"[{ ""recipe"": 1, ""level"": 5 }]","{""gold"":100}",0.5,[],{},,Доска заказов Буррито
10012,1,"",{},"[{ ""recipe"": 1, ""level"": 5 }]","{""gold"":300}",0.5,[],{},,Доска заказов Буррито
10013,1,"",{},"[{ ""recipe"": 1, ""level"": 5 }]","{""gold"":500}",0.5,[],{},,Доска заказов Буррито
10021,1,"",{},"[{ ""recipe"": 2, ""level"": 5 }]","{""gold"":100}",0.5,[],{},,Доска заказов Курица на вертеле
10022,1,"",{},"[{ ""recipe"": 2, ""level"": 5 }]","{""gold"":300}",0.5,[],{},,Доска заказов Курица на вертеле
10023,1,"",{},"[{ ""recipe"": 2, ""level"": 5 }]","{""gold"":500}",0.5,[],{},,Доска заказов Курица на вертеле
10031,1,"",{},"[{ ""recipe"": 3, ""level"": 5 }]","{""gold"":100}",0.5,[],{},,Доска заказов Пицца
10032,1,"",{},"[{ ""recipe"": 3, ""level"": 5 }]","{""gold"":300}",0.5,[],{},,Доска заказов Пицца
10033,1,"",{},"[{ ""recipe"": 3, ""level"": 5 }]","{""gold"":500}",0.5,[],{},,Доска заказов Пицца
10041,1,"",{},"[{ ""recipe"": 4, ""level"": 5 }]","{""gold"":200}",0.5,[],{},,Доска заказов Завтрак чемпиона
10042,1,"",{},"[{ ""recipe"": 4, ""level"": 5 }]","{""gold"":400}",0.5,[],{},,Доска заказов Завтрак чемпиона
10043,1,"",{},"[{ ""recipe"": 4, ""level"": 5 }]","{""gold"":600}",0.5,[],{},,Доска заказов Завтрак чемпиона
10051,1,"",{},"[{ ""recipe"": 5, ""level"": 5 }]","{""gold"":200}",0.5,[],{},,Доска заказов Ребрышки по-ковбойски
10052,1,"",{},"[{ ""recipe"": 5, ""level"": 5 }]","{""gold"":400}",0.5,[],{},,Доска заказов Ребрышки по-ковбойски
10053,1,"",{},"[{ ""recipe"": 5, ""level"": 5 }]","{""gold"":600}",0.5,[],{},,Доска заказов Ребрышки по-ковбойски
10061,1,"",{},"[{ ""recipe"": 6, ""level"": 5 }]","{""gold"":200}",0.5,[],{},,Доска заказов Жульен
10062,1,"",{},"[{ ""recipe"": 6, ""level"": 5 }]","{""gold"":400}",0.5,[],{},,Доска заказов Жульен
10063,1,"",{},"[{ ""recipe"": 6, ""level"": 5 }]","{""gold"":600}",0.5,[],{},,Доска заказов Жульен
